tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time
50,10,10,test tabulisty,2006-11-23 14:31:26,0,25,1,3,4195,0.31
50,10,10,test tabulisty,2006-11-23 14:31:27,0,50,1,3,4195,0.59
50,10,10,test tabulisty,2006-11-23 14:31:28,0,75,1,3,4195,0.76
50,10,10,test tabulisty,2006-11-23 14:31:28,20,25,1,3,4195,0.34
50,10,10,test tabulisty,2006-11-23 14:31:29,20,50,1,3,4193,0.79
50,10,10,test tabulisty,2006-11-23 14:31:30,20,75,1,3,4193,1.02
50,10,10,test tabulisty,2006-11-23 14:31:31,40,25,1,3,4195,0.32
50,10,10,test tabulisty,2006-11-23 14:31:32,40,50,1,3,4100,1.10
50,10,10,test tabulisty,2006-11-23 14:31:35,40,75,1,3,3939,2.57
50,10,10,test tabulisty,2006-11-23 14:31:35,60,25,1,3,4195,0.32
50,10,10,test tabulisty,2006-11-23 14:31:37,60,50,1,3,4090,1.44
50,10,10,test tabulisty,2006-11-23 14:31:39,60,75,1,3,4090,1.68
50,10,10,test tabulisty,2006-11-23 14:31:39,80,25,1,3,4195,0.35
50,10,10,test tabulisty,2006-11-23 14:31:41,80,50,1,3,4050,1.40
50,10,10,test tabulisty,2006-11-23 14:31:42,80,75,1,3,4050,1.60
50,10,10,test tabulisty,2006-11-23 14:31:43,100,25,1,3,4195,0.32
50,10,10,test tabulisty,2006-11-23 14:31:44,100,50,1,3,4097,1.30
50,10,10,test tabulisty,2006-11-23 14:31:46,100,75,1,3,4097,1.45
50,10,10,test tabulisty,2006-11-23 14:31:46,120,25,1,3,4195,0.32
50,10,10,test tabulisty,2006-11-23 14:31:48,120,50,1,3,4097,1.35
50,10,10,test tabulisty,2006-11-23 14:31:49,120,75,1,3,4097,1.44
50,10,10,test tabulisty,2006-11-23 14:31:50,140,25,1,3,4195,0.33
50,10,10,test tabulisty,2006-11-23 14:31:51,140,50,1,3,4097,1.28
50,10,10,test tabulisty,2006-11-23 14:31:53,140,75,1,3,4097,1.48
50,10,10,test tabulisty,2006-11-23 14:31:53,160,25,1,3,4195,0.33
50,10,10,test tabulisty,2006-11-23 14:31:54,160,50,1,3,4097,1.24
50,10,10,test tabulisty,2006-11-23 14:31:56,160,75,1,3,4097,1.47
50,10,10,test tabulisty,2006-11-23 14:31:57,180,25,1,3,4195,0.35
50,10,10,test tabulisty,2006-11-23 14:31:58,180,50,1,3,4097,1.24
50,10,10,test tabulisty,2006-11-23 14:32:00,180,75,1,3,4097,1.62
50,10,10,test tabulisty,2006-11-23 14:32:00,200,25,1,3,4195,0.34
50,10,10,test tabulisty,2006-11-23 14:32:02,200,50,1,3,4097,1.31
50,10,10,test tabulisty,2006-11-23 14:32:03,200,75,1,3,4097,1.48
50,10,11,test tabulisty,2006-11-23 14:32:04,0,25,1,3,4693,0.26
50,10,11,test tabulisty,2006-11-23 14:32:04,0,50,1,3,4693,0.47
50,10,11,test tabulisty,2006-11-23 14:32:05,0,75,1,3,4693,0.68
50,10,11,test tabulisty,2006-11-23 14:32:05,20,25,1,3,4490,0.35
50,10,11,test tabulisty,2006-11-23 14:32:06,20,50,1,3,4490,0.60
50,10,11,test tabulisty,2006-11-23 14:32:07,20,75,1,3,4490,0.78
50,10,11,test tabulisty,2006-11-23 14:32:07,40,25,1,3,4490,0.34
50,10,11,test tabulisty,2006-11-23 14:32:08,40,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:09,40,75,1,3,4490,0.82
50,10,11,test tabulisty,2006-11-23 14:32:09,60,25,1,3,4490,0.33
50,10,11,test tabulisty,2006-11-23 14:32:10,60,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:11,60,75,1,3,4490,0.76
50,10,11,test tabulisty,2006-11-23 14:32:11,80,25,1,3,4490,0.33
50,10,11,test tabulisty,2006-11-23 14:32:12,80,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:13,80,75,1,3,4490,0.80
50,10,11,test tabulisty,2006-11-23 14:32:13,100,25,1,3,4490,0.34
50,10,11,test tabulisty,2006-11-23 14:32:14,100,50,1,3,4490,0.55
50,10,11,test tabulisty,2006-11-23 14:32:15,100,75,1,3,4490,0.82
50,10,11,test tabulisty,2006-11-23 14:32:15,120,25,1,3,4490,0.33
50,10,11,test tabulisty,2006-11-23 14:32:16,120,50,1,3,4490,0.52
50,10,11,test tabulisty,2006-11-23 14:32:17,120,75,1,3,4490,0.81
50,10,11,test tabulisty,2006-11-23 14:32:17,140,25,1,3,4490,0.33
50,10,11,test tabulisty,2006-11-23 14:32:18,140,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:19,140,75,1,3,4490,0.80
50,10,11,test tabulisty,2006-11-23 14:32:19,160,25,1,3,4490,0.32
50,10,11,test tabulisty,2006-11-23 14:32:20,160,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:21,160,75,1,3,4490,0.71
50,10,11,test tabulisty,2006-11-23 14:32:21,180,25,1,3,4490,0.32
50,10,11,test tabulisty,2006-11-23 14:32:22,180,50,1,3,4490,0.54
50,10,11,test tabulisty,2006-11-23 14:32:23,180,75,1,3,4490,0.72
50,10,11,test tabulisty,2006-11-23 14:32:23,200,25,1,3,4490,0.32
50,10,11,test tabulisty,2006-11-23 14:32:24,200,50,1,3,4490,0.57
50,10,11,test tabulisty,2006-11-23 14:32:25,200,75,1,3,4490,0.74
50,10,12,test tabulisty,2006-11-23 14:32:25,0,25,1,3,4352,0.26
50,10,12,test tabulisty,2006-11-23 14:32:26,0,50,1,3,4352,0.49
50,10,12,test tabulisty,2006-11-23 14:32:27,0,75,1,3,4352,0.68
50,10,12,test tabulisty,2006-11-23 14:32:27,20,25,1,3,4352,0.25
50,10,12,test tabulisty,2006-11-23 14:32:28,20,50,1,3,4352,0.47
50,10,12,test tabulisty,2006-11-23 14:32:29,20,75,1,3,4352,0.66
50,10,12,test tabulisty,2006-11-23 14:32:29,40,25,1,3,4352,0.24
50,10,12,test tabulisty,2006-11-23 14:32:30,40,50,1,3,4352,0.50
50,10,12,test tabulisty,2006-11-23 14:32:30,40,75,1,3,4352,0.64
50,10,12,test tabulisty,2006-11-23 14:32:31,60,25,1,3,4352,0.23
50,10,12,test tabulisty,2006-11-23 14:32:31,60,50,1,3,4352,0.49
50,10,12,test tabulisty,2006-11-23 14:32:32,60,75,1,3,4352,0.66
50,10,12,test tabulisty,2006-11-23 14:32:32,80,25,1,3,4352,0.23
50,10,12,test tabulisty,2006-11-23 14:32:33,80,50,1,3,4352,0.45
50,10,12,test tabulisty,2006-11-23 14:32:34,80,75,1,3,4352,0.67
50,10,12,test tabulisty,2006-11-23 14:32:34,100,25,1,3,4352,0.22
50,10,12,test tabulisty,2006-11-23 14:32:35,100,50,1,3,4352,0.46
50,10,12,test tabulisty,2006-11-23 14:32:36,100,75,1,3,4352,0.65
50,10,12,test tabulisty,2006-11-23 14:32:36,120,25,1,3,4352,0.24
50,10,12,test tabulisty,2006-11-23 14:32:37,120,50,1,3,4352,0.46
50,10,12,test tabulisty,2006-11-23 14:32:37,120,75,1,3,4352,0.69
50,10,12,test tabulisty,2006-11-23 14:32:38,140,25,1,3,4352,0.23
50,10,12,test tabulisty,2006-11-23 14:32:38,140,50,1,3,4352,0.48
50,10,12,test tabulisty,2006-11-23 14:32:39,140,75,1,3,4352,0.69
50,10,12,test tabulisty,2006-11-23 14:32:40,160,25,1,3,4352,0.23
50,10,12,test tabulisty,2006-11-23 14:32:40,160,50,1,3,4352,0.47
50,10,12,test tabulisty,2006-11-23 14:32:41,160,75,1,3,4352,0.68
50,10,12,test tabulisty,2006-11-23 14:32:41,180,25,1,3,4352,0.23
50,10,12,test tabulisty,2006-11-23 14:32:42,180,50,1,3,4352,0.44
50,10,12,test tabulisty,2006-11-23 14:32:43,180,75,1,3,4352,0.67
50,10,12,test tabulisty,2006-11-23 14:32:43,200,25,1,3,4352,0.24
50,10,12,test tabulisty,2006-11-23 14:32:44,200,50,1,3,4352,0.50
50,10,12,test tabulisty,2006-11-23 14:32:45,200,75,1,3,4352,0.68
50,10,13,test tabulisty,2006-11-23 14:32:45,0,25,1,3,4501,0.24
50,10,13,test tabulisty,2006-11-23 14:32:46,0,50,1,3,4501,0.50
