tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
20,20,10,Move Tabulist,2006-11-26 23:56:15,80,80,1,1,1704,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,80,90,1,1,1704,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,80,100,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,80,110,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,80,120,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,90,80,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,90,90,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:15,90,100,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,90,110,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,90,120,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,100,80,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,100,90,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,100,100,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,100,110,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,100,120,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,110,80,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,110,90,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:16,110,100,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:17,110,110,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:17,110,120,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:17,120,80,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-26 23:56:17,120,90,1,1,1698,0.00,1538
