tasks,offlines,repeat,tag,date,init,approx,cmax,time,cmax_min
10,3,10,pusty,2007-01-05 16:02:17,1,1,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,1,2,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,1,3,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,2,1,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,2,2,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,2,3,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,3,1,1024,0.01,
10,3,10,pusty,2007-01-05 16:02:17,3,2,1024,0.00,
10,3,10,pusty,2007-01-05 16:02:17,3,3,1024,0.00,
10,3,11,pusty,2007-01-05 16:02:17,1,1,909,0.00,
10,3,11,pusty,2007-01-05 16:02:17,1,2,909,0.00,
10,3,11,pusty,2007-01-05 16:02:17,1,3,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,2,1,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,2,2,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,2,3,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,3,1,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,3,2,909,0.00,
10,3,11,pusty,2007-01-05 16:02:18,3,3,909,0.00,
10,3,12,pusty,2007-01-05 16:02:18,1,1,982,0.01,
10,3,12,pusty,2007-01-05 16:02:18,1,2,982,0.02,
10,3,12,pusty,2007-01-05 16:02:18,1,3,982,0.02,
10,3,12,pusty,2007-01-05 16:02:18,2,1,982,0.01,
10,3,12,pusty,2007-01-05 16:02:18,2,2,982,0.01,
10,3,12,pusty,2007-01-05 16:02:18,2,3,982,0.02,
10,3,12,pusty,2007-01-05 16:02:18,3,1,982,0.02,
10,3,12,pusty,2007-01-05 16:02:18,3,2,982,0.01,
10,3,12,pusty,2007-01-05 16:02:18,3,3,982,0.02,
10,3,13,pusty,2007-01-05 16:02:18,1,1,870,0.00,
10,3,13,pusty,2007-01-05 16:02:18,1,2,870,0.00,
10,3,13,pusty,2007-01-05 16:02:18,1,3,870,0.00,
10,3,13,pusty,2007-01-05 16:02:18,2,1,870,0.00,
10,3,13,pusty,2007-01-05 16:02:19,2,2,870,0.00,
10,3,13,pusty,2007-01-05 16:02:19,2,3,870,0.00,
10,3,13,pusty,2007-01-05 16:02:19,3,1,870,0.00,
10,3,13,pusty,2007-01-05 16:02:19,3,2,870,0.00,
10,3,13,pusty,2007-01-05 16:02:19,3,3,870,0.00,
10,3,14,pusty,2007-01-05 16:02:19,1,1,881,0.00,
10,3,14,pusty,2007-01-05 16:02:19,1,2,881,0.02,
10,3,14,pusty,2007-01-05 16:02:19,1,3,881,0.00,
10,3,14,pusty,2007-01-05 16:02:19,2,1,881,0.00,
10,3,14,pusty,2007-01-05 16:02:19,2,2,881,0.00,
10,3,14,pusty,2007-01-05 16:02:19,2,3,881,0.00,
10,3,14,pusty,2007-01-05 16:02:19,3,1,881,0.01,
10,3,14,pusty,2007-01-05 16:02:19,3,2,881,0.01,
10,3,14,pusty,2007-01-05 16:02:19,3,3,881,0.00,
10,3,15,pusty,2007-01-05 16:02:19,1,1,827,0.01,
