tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
16,0,10,pusty,2007-01-14 11:44:19,1,1,2,8.26,42271739
16,0,10,pusty,2007-01-14 11:44:33,1,2,2,13.90,22742749
16,0,10,pusty,2007-01-14 11:44:48,1,3,2,14.80,22742749
16,0,10,pusty,2007-01-14 11:44:49,2,1,2,0.36,2170840
16,0,10,pusty,2007-01-14 11:44:49,2,2,2,0.59,1002728
16,0,10,pusty,2007-01-14 11:44:50,2,3,2,0.61,1002728
16,0,10,pusty,2007-01-14 11:44:51,3,1,2,0.35,1122753
16,0,10,pusty,2007-01-14 11:44:51,3,2,2,0.50,489811
16,0,10,pusty,2007-01-14 11:44:52,3,3,2,0.47,489811
16,0,11,pusty,2007-01-14 11:45:07,1,1,2,15.14,77144075
16,0,11,pusty,2007-01-14 11:45:21,1,2,2,13.70,22670356
16,0,11,pusty,2007-01-14 11:45:36,1,3,2,14.62,22670356
16,0,11,pusty,2007-01-14 11:45:40,2,1,2,4.29,21928917
16,0,11,pusty,2007-01-14 11:45:45,2,2,2,4.95,8802019
16,0,11,pusty,2007-01-14 11:45:50,2,3,2,4.83,8802019
16,0,11,pusty,2007-01-14 11:45:51,3,1,2,0.45,1606988
16,0,11,pusty,2007-01-14 11:45:51,3,2,2,0.36,374667
16,0,11,pusty,2007-01-14 11:45:52,3,3,2,0.36,374667
16,0,12,pusty,2007-01-14 11:46:52,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,12,pusty,2007-01-14 11:47:52,1,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,12,pusty,2007-01-14 11:48:52,1,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,12,pusty,2007-01-14 11:49:32,2,1,2,39.63,200925268
16,0,12,pusty,2007-01-14 11:50:15,2,2,2,41.67,72513148
16,0,12,pusty,2007-01-14 11:50:57,2,3,2,41.91,72513148
16,0,12,pusty,2007-01-14 11:51:09,3,1,2,11.66,58576822
16,0,12,pusty,2007-01-14 11:51:22,3,2,2,12.72,21775542
16,0,12,pusty,2007-01-14 11:51:35,3,3,2,13.24,21775542
16,0,13,pusty,2007-01-14 11:51:42,1,1,2,6.37,32138213
16,0,13,pusty,2007-01-14 11:51:51,1,2,2,9.40,16369643
16,0,13,pusty,2007-01-14 11:52:02,1,3,2,10.40,16369643
16,0,13,pusty,2007-01-14 11:52:02,2,1,2,0.13,689576
16,0,13,pusty,2007-01-14 11:52:02,2,2,2,0.20,337709
16,0,13,pusty,2007-01-14 11:52:03,2,3,2,0.21,337709
16,0,13,pusty,2007-01-14 11:52:03,3,1,2,0.24,329092
16,0,13,pusty,2007-01-14 11:52:03,3,2,2,0.27,172788
16,0,13,pusty,2007-01-14 11:52:04,3,3,2,0.28,172788
16,0,14,pusty,2007-01-14 11:53:04,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:54:04,1,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:55:04,1,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:56:04,2,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:57:04,2,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:58:04,2,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,14,pusty,2007-01-14 11:58:26,3,1,2,21.71,112416067
16,0,14,pusty,2007-01-14 11:58:55,3,2,2,28.62,51737070
16,0,14,pusty,2007-01-14 11:59:24,3,3,2,28.55,51737070
16,0,15,pusty,2007-01-14 11:59:27,1,1,2,2.89,14884797
