Variables;result
m;3
T;113344
t_00_0;31360
tk_00_0;33920
t_00_1;30464
tk_00_1;30528
t_00_2;30464
tk_00_2;30464
t_01_0;45888
tk_01_0;48704
t_01_1;44992
tk_01_1;45504
t_01_2;44672
tk_01_2;44928
t_02_0;32320
tk_02_0;34496
t_02_1;31232
tk_02_1;31936
t_02_2;30912
tk_02_2;30976
t_03_0;88640
tk_03_0;90880
t_03_1;87360
tk_03_1;87936
t_03_2;87104
tk_03_2;87168
t_04_0;46464
tk_04_0;49152
t_04_1;45184
tk_04_1;46336
t_04_2;44800
tk_04_2;45056
t_05_0;110592
tk_05_0;112704
t_05_1;109248
tk_05_1;110080
t_05_2;108864
tk_05_2;108992
t_06_0;89344
tk_06_0;91776
t_06_1;87744
tk_06_1;89280
t_06_2;87360
tk_06_2;87616
t_07_0;110720
tk_07_0;113344
t_07_1;109376
tk_07_1;110464
t_07_2;108928
tk_07_2;109248
r_00_0;0
rk_00_0;0
r_00_1;0
rk_00_1;0
r_00_2;0
rk_00_2;0
pc_0;0
pv_0;0
r_01_0;44936
rk_01_0;45662
r_01_1;44568
rk_01_1;44721
r_01_2;4475
rk_01_2;44513
pc_1;1
pv_1;0
r_02_0;31098
rk_02_0;32123
r_02_1;30768
rk_02_1;31044
r_02_2;4498
rk_02_2;30713
pc_2;2
pv_2;0
r_03_0;87349
rk_03_0;88547
r_03_1;87074
rk_03_1;87294
r_03_2;4500
rk_03_2;87019
pc_3;3
pv_3;0
r_04_0;45130
rk_04_0;46231
r_04_1;44687
rk_04_1;44911
r_04_2;4595
rk_04_2;44647
pc_4;4
pv_4;1
r_05_0;87645
rk_05_0;88756
r_05_1;87172
rk_05_1;87421
r_05_2;4593
rk_05_2;87132
pc_5;6
pv_5;1
r_06_0;45172
rk_06_0;46267
r_06_1;44808
rk_06_1;45022
r_06_2;3175
rk_06_2;44713
pc_6;4
pv_6;2
r_07_0;109101
rk_07_0;110368
r_07_1;108735
rk_07_1;109062
r_07_2;4619
rk_07_2;108696
pc_7;5
pv_7;2
r_08_0;109202
rk_08_0;110471
r_08_1;108834
rk_08_1;108992
r_08_2;3181
rk_08_2;108676
pc_8;5
pv_8;3
r_09_0;87675
rk_09_0;88822
r_09_1;87293
rk_09_1;87470
r_09_2;3173
rk_09_2;87197
pc_9;6
pv_9;3
r_10_0;109307
rk_10_0;110564
r_10_1;108839
rk_10_1;109177
r_10_2;4507
rk_10_2;108816
pc_10;7
pv_10;4
r_11_0;109367
rk_11_0;110655
r_11_1;108940
rk_11_1;109157
r_11_2;3129
rk_11_2;108875
pc_11;7
pv_11;5
r_12_0;109307
rk_12_0;110564
r_12_1;108839
rk_12_1;109177
r_12_2;4507
rk_12_2;108816
pc_12;7
pv_12;6
r_13_0;109337
rk_13_0;110679
r_13_1;108910
rk_13_1;109226
r_13_2;1751
rk_13_2;108855
pc_13;7
pv_13;7
r_14_0;109337
rk_14_0;110679
r_14_1;108910
rk_14_1;109226
r_14_2;1751
rk_14_2;108855
pc_14;7
pv_14;8
r_15_0;109367
rk_15_0;110655
r_15_1;108940
rk_15_1;109157
r_15_2;3129
rk_15_2;108875
pc_15;7
pv_15;9
