Variables;MILP Better;MILP Better;MILP Better;MILP Better;MILP Better;MILP Better;MILP Better;result
;5891923,74;5473621,74;5471981,34;5422974,39;5421333,99;5004672,39;5003031,99;5002963,64
T;5891923,74;5473621,74;5471981,34;5422974,39;5421333,99;5004672,39;5003031,99;5002963,64
r_00_4;0;0;0;0;0;0;0;0
r_01_4;0;0;0;0;0;0;0;0
r_02_4;0;0;0;0;0;0;0;0
r_03_4;0;0;0;0;0;0;0;0
a_10_0;27162;27162;27162;27162;27162;27162;27162;27162
a_11_0;27162;27162;27162;27162;27162;27162;27162;27162
a_01_0;77758;77758;77758;77758;77758;77758;77758;77758
a_04_0;34680;34680;34680;34680;34680;34680;34680;34680
a_05_0;34684;34684;34684;34684;34684;34684;34684;34684
x_01_0;1;1;1;1;1;1;1;1
r_01_0;495726,200000002;93811,75;93757,75;92144,5;92090,5;78374,5;78453,43;78453,43
r_04_0;948991,700000002;547077,25;547023,25;545410;545356;531640;531718,93;531718,93
a_10_1;5197;5197;5197;5197;5197;5197;5197;5197
a_11_1;5190;5190;5190;5190;5190;5190;5190;5190
a_01_1;7883;7883;7883;7883;7883;7883;7883;7883
a_04_1;5575;5575;5575;5575;5575;5575;5575;5575
a_05_1;5581;5581;5581;5581;5581;5581;5581;5581
x_01_1;1;1;1;1;1;1;1;1
r_01_1;41354,2500000001;27584,25;27530,25;25917,0000000001;25863,0000000001;12147;12093;12090,7500000001
r_04_1;107574,75;93804,75;93750,75;92137,5;92083,5;78367,5;78313,5;78311,2500000001
a_10_2;851;851;851;851;851;851;851;851
a_11_2;804;804;804;804;804;804;804;804
a_01_2;1147;1147;1147;1147;1147;1147;1147;1147
a_04_2;863;863;863;863;863;863;863;863
a_05_2;870;870;870;870;870;870;870;870
x_01_2;1;1;1;1;1;1;1;1
r_01_2;31139,5000000001;17369,5;17315,5;15702,2500000001;15648,2500000001;1932,25000000005;1878,25000000005;1876,00000000006
r_04_2;88285,4700000002;48199,4700000001;48042,2700000001;43345,9200000002;43188,7200000002;12148;12094;12091,7500000001
a_10_3;13152;7032;7008;6291;6267;171;147;146
a_11_3;130;130;130;130;130;130;130;130
a_01_3;179;179;179;179;179;179;179;179
a_04_3;134;134;134;134;134;134;134;134
a_05_3;138;138;138;138;138;138;138;138
x_01_3;1;1;1;1;1;1;1;1
r_01_3;229,25;229,25;229,25;229,25;229,25;229,25;229,25;229,25
r_04_3;31140,5000000001;17370,5;17316,5;15703,2500000001;15649,2500000001;1933,25000000005;1879,25000000005;1877,00000000006
a_10_4;21;21;21;21;21;21;21;21
a_11_4;21;21;21;21;21;21;21;21
a_01_4;28;28;28;28;28;28;28;28
a_04_4;20;20;20;20;20;20;20;20
a_05_4;7;7;7;7;7;7;7;7
x_01_4;1;1;1;1;1;1;1;1
r_04_4;230,25;230,25;230,25;230,25;230,25;230,25;230,25;230,25
r_05_0;948991,700000002;547077,25;547023,25;545410;545356;531640;531718,93;531718,93
r_05_1;107574,75;93804,75;93750,75;92137,5;92083,5;78367,5;78313,5;78311,2500000001
r_05_2;41355,2500000001;27585,25;27531,25;25918,0000000001;25864,0000000001;12148;12094;12091,7500000001
r_05_3;31140,5000000001;17370,5;17316,5;15703,2500000001;15649,2500000001;1933,25000000005;1879,25000000005;1877,00000000006
r_05_4;230,25;230,25;230,25;230,25;230,25;230,25;230,25;230,25
a_12_0;0;0;0;0;0;0;0;0
a_13_0;0;0;0;0;0;0;0;0
a_02_0;62634;62634;62634;62634;62634;62634;62634;62634
a_06_0;38450;38450;38450;38450;38450;38450;38450;38450
a_07_0;38496;38496;38496;38496;38496;38496;38496;38496
x_02_0;1;1;1;1;1;1;1;1
r_02_0;528217,550000002;126303,1;126249,1;529383,920000001;527743,520000002;111081,920000002;111039,38;111039,38
r_06_0;1600424,24;1182122,24;1180481,84;1131474,89;1129834,49;713172,890000002;711532,490000002;711464,140000002
a_12_1;0;0;0;0;0;0;0;0
a_13_1;2961;2961;2961;2961;2961;2961;2961;2961
a_02_1;8759;8759;8759;8759;8759;8759;8759;8759
a_06_1;6129;6129;6129;6129;6129;6129;6129;6129
a_07_1;3860;3860;3860;3860;3860;3860;3860;3860
x_02_1;1;1;1;1;1;1;1;1
r_02_1;17675,51;17675,51;17675,51;17675,51;17675,51;17675,51;17675,51;17675,51
r_06_1;195636,72;155550,72;155393,52;150697,17;150539,97;111040,38;111040,38;111040,38
a_12_2;24;24;24;24;24;24;24;24
a_13_2;466;466;466;466;466;466;466;466
a_02_2;1361;1361;1361;1361;1361;1361;1361;1361
a_06_2;957;957;957;957;957;957;957;957
a_07_2;656;656;656;656;656;656;656;656
x_02_2;1;1;1;1;1;1;1;1
r_02_2;2765,14;2765,14;2765,14;2765,14;2765,14;2765,14;2765,14;2765,14
r_06_2;88285,4700000002;48199,4700000001;48042,2700000001;43345,9200000001;43188,7200000001;17676,51;17676,51;17676,51
a_12_3;0;0;0;0;0;0;0;0
a_13_3;0;0;0;0;0;0;0;0
a_02_3;217;217;217;217;217;217;217;217
a_06_3;153;153;153;153;153;153;153;153
a_07_3;175;175;175;175;175;175;175;175
x_02_3;1;1;1;1;1;1;1;1
r_02_3;406,47;406,47;406,47;406,47;406,47;406,47;406,47;406,47
r_06_3;87930,2200000002;47844,2200000001;47687,0200000001;42990,6700000001;42833,4700000001;2904,67000000014;2766,14;2766,14
a_12_4;0;0;0;0;0;0;0;0
a_13_4;12;12;12;12;12;12;12;12
a_02_4;33;33;33;33;33;33;33;33
a_06_4;25;25;25;25;25;25;25;25
a_07_4;21;21;21;21;21;21;21;21
x_02_4;1;1;1;1;1;1;1;1
r_06_4;407,47;407,47;407,47;407,47;407,47;407,47;407,47;407,47
