tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
1000,20,1,SwapIndex-DoubleBlock,2006-11-28 22:14:25,30,400,1,1,92545,58.46,91316
1000,20,1,SwapIndex-DoubleBlock,2006-11-29 02:17:34,30,400,1,2,91316,119.81,91316
1000,20,2,SwapIndex-DoubleBlock,2006-11-28 22:15:24,30,400,1,1,90954,58.34,90183
1000,20,2,SwapIndex-DoubleBlock,2006-11-29 02:19:36,30,400,1,2,90183,121.35,90183
1000,20,3,SwapIndex-DoubleBlock,2006-11-28 22:16:24,30,400,1,1,90748,59.35,90748
1000,20,3,SwapIndex-DoubleBlock,2006-11-29 02:21:34,30,400,1,2,91327,118.01,90748
1000,20,4,SwapIndex-DoubleBlock,2006-11-28 22:17:22,30,400,1,1,90961,58.48,90601
1000,20,4,SwapIndex-DoubleBlock,2006-11-29 02:23:30,30,400,1,2,90601,116.09,90601
1000,20,5,SwapIndex-DoubleBlock,2006-11-28 22:18:20,30,400,1,1,91412,57.13,90940
1000,20,5,SwapIndex-DoubleBlock,2006-11-29 02:25:26,30,400,1,2,90940,115.80,90940
100,20,1,SwapIndex-DoubleBlock,2006-11-28 22:13:24,30,400,1,1,8384,0.49,8384
100,20,1,SwapIndex-DoubleBlock,2006-11-29 01:38:30,30,400,1,2,8618,0.98,8384
100,20,2,SwapIndex-DoubleBlock,2006-11-28 22:13:24,30,400,1,1,8985,0.55,8985
100,20,2,SwapIndex-DoubleBlock,2006-11-29 01:38:32,30,400,1,2,9008,0.98,8985
100,20,3,SwapIndex-DoubleBlock,2006-11-28 22:13:25,30,400,1,1,8204,0.50,8204
100,20,3,SwapIndex-DoubleBlock,2006-11-29 01:38:33,30,400,1,2,8334,0.98,8204
100,20,4,SwapIndex-DoubleBlock,2006-11-28 22:13:26,30,400,1,1,8264,0.50,8264
100,20,4,SwapIndex-DoubleBlock,2006-11-29 01:38:34,30,400,1,2,8415,0.96,8264
100,20,5,SwapIndex-DoubleBlock,2006-11-28 22:13:26,30,400,1,1,8291,0.50,8291
100,20,5,SwapIndex-DoubleBlock,2006-11-29 01:38:35,30,400,1,2,8449,0.99,8291
200,20,1,SwapIndex-DoubleBlock,2006-11-28 22:18:22,30,400,1,1,18787,2.15,18176
200,20,1,SwapIndex-DoubleBlock,2006-11-29 01:38:39,30,400,1,2,18176,4.24,18176
200,20,2,SwapIndex-DoubleBlock,2006-11-28 22:18:24,30,400,1,1,18024,2.06,18024
200,20,2,SwapIndex-DoubleBlock,2006-11-29 01:38:44,30,400,1,2,18055,4.20,18024
200,20,3,SwapIndex-DoubleBlock,2006-11-28 22:18:27,30,400,1,1,17006,2.09,17006
200,20,3,SwapIndex-DoubleBlock,2006-11-29 01:38:48,30,400,1,2,17220,4.12,17006
200,20,4,SwapIndex-DoubleBlock,2006-11-28 22:18:29,30,400,1,1,18314,2.06,18189
200,20,4,SwapIndex-DoubleBlock,2006-11-29 01:38:52,30,400,1,2,18189,4.04,18189
200,20,5,SwapIndex-DoubleBlock,2006-11-28 22:18:31,30,400,1,1,17825,2.01,17417
200,20,5,SwapIndex-DoubleBlock,2006-11-29 01:38:57,30,400,1,2,17417,4.12,17417
300,20,1,SwapIndex-DoubleBlock,2006-11-28 22:18:36,30,400,1,1,26136,4.66,26096
300,20,1,SwapIndex-DoubleBlock,2006-11-29 01:39:06,30,400,1,2,26096,9.57,26096
300,20,2,SwapIndex-DoubleBlock,2006-11-28 22:18:41,30,400,1,1,26615,4.69,26615
300,20,2,SwapIndex-DoubleBlock,2006-11-29 01:39:16,30,400,1,2,26911,9.25,26615
300,20,3,SwapIndex-DoubleBlock,2006-11-28 22:18:45,30,400,1,1,26100,4.64,26057
300,20,3,SwapIndex-DoubleBlock,2006-11-29 01:39:25,30,400,1,2,26057,9.16,26057
300,20,4,SwapIndex-DoubleBlock,2006-11-28 22:18:50,30,400,1,1,27319,4.73,27319
300,20,4,SwapIndex-DoubleBlock,2006-11-29 01:39:35,30,400,1,2,27399,9.44,27319
300,20,5,SwapIndex-DoubleBlock,2006-11-28 22:18:55,30,400,1,1,27199,4.72,26827
300,20,5,SwapIndex-DoubleBlock,2006-11-29 01:39:44,30,400,1,2,26827,9.43,26827
400,20,1,SwapIndex-DoubleBlock,2006-11-28 22:19:03,30,400,1,1,35898,8.23,34782
400,20,1,SwapIndex-DoubleBlock,2006-11-29 01:40:02,30,400,1,2,34782,17.28,34782
400,20,2,SwapIndex-DoubleBlock,2006-11-28 22:19:12,30,400,1,1,36456,8.58,36234
400,20,2,SwapIndex-DoubleBlock,2006-11-29 01:40:19,30,400,1,2,36234,16.83,36234
400,20,3,SwapIndex-DoubleBlock,2006-11-28 22:19:21,30,400,1,1,35688,8.51,35504
400,20,3,SwapIndex-DoubleBlock,2006-11-29 01:40:36,30,400,1,2,35504,17.13,35504
400,20,4,SwapIndex-DoubleBlock,2006-11-28 22:19:29,30,400,1,1,35693,8.23,35535
400,20,4,SwapIndex-DoubleBlock,2006-11-29 01:40:53,30,400,1,2,35535,16.76,35535
400,20,5,SwapIndex-DoubleBlock,2006-11-28 22:19:38,30,400,1,1,36351,8.47,36158
400,20,5,SwapIndex-DoubleBlock,2006-11-29 01:41:10,30,400,1,2,36158,16.91,36158
500,20,1,SwapIndex-DoubleBlock,2006-11-28 22:19:52,30,400,1,1,44128,13.42,43315
500,20,1,SwapIndex-DoubleBlock,2006-11-29 01:41:38,30,400,1,2,43315,27.54,43315
500,20,2,SwapIndex-DoubleBlock,2006-11-28 22:20:05,30,400,1,1,44402,13.02,44402
500,20,2,SwapIndex-DoubleBlock,2006-11-29 01:42:04,30,400,1,2,44944,26.13,44402
500,20,3,SwapIndex-DoubleBlock,2006-11-28 22:20:19,30,400,1,1,46434,13.75,46247
500,20,3,SwapIndex-DoubleBlock,2006-11-29 01:42:32,30,400,1,2,46247,27.78,46247
500,20,4,SwapIndex-DoubleBlock,2006-11-28 22:20:32,30,400,1,1,44875,13.35,44665
500,20,4,SwapIndex-DoubleBlock,2006-11-29 01:42:58,30,400,1,2,44665,26.16,44665
500,20,5,SwapIndex-DoubleBlock,2006-11-28 22:20:46,30,400,1,1,46575,13.48,46283
500,20,5,SwapIndex-DoubleBlock,2006-11-29 01:43:25,30,400,1,2,46283,26.91,46283
600,20,1,SwapIndex-DoubleBlock,2006-11-28 22:21:05,30,400,1,1,53598,19.35,53112
600,20,1,SwapIndex-DoubleBlock,2006-11-29 01:54:21,30,400,1,2,53112,39.32,53112
600,20,2,SwapIndex-DoubleBlock,2006-11-28 22:21:25,30,400,1,1,54396,19.56,54167
600,20,2,SwapIndex-DoubleBlock,2006-11-29 01:55:01,30,400,1,2,54167,39.37,54167
600,20,3,SwapIndex-DoubleBlock,2006-11-28 22:21:46,30,400,1,1,55022,20.64,54857
600,20,3,SwapIndex-DoubleBlock,2006-11-29 01:55:41,30,400,1,2,54857,40.66,54857
600,20,4,SwapIndex-DoubleBlock,2006-11-28 22:22:06,30,400,1,1,54367,19.78,54367
600,20,4,SwapIndex-DoubleBlock,2006-11-29 01:56:22,30,400,1,2,54410,40.77,54367
600,20,5,SwapIndex-DoubleBlock,2006-11-28 22:22:25,30,400,1,1,52272,19.31,51884
600,20,5,SwapIndex-DoubleBlock,2006-11-29 01:57:02,30,400,1,2,51884,39.81,51884
700,20,1,SwapIndex-DoubleBlock,2006-11-28 22:22:52,30,400,1,1,64557,26.73,63381
700,20,1,SwapIndex-DoubleBlock,2006-11-29 01:57:57,30,400,1,2,63381,54.53,63381
700,20,2,SwapIndex-DoubleBlock,2006-11-28 22:23:19,30,400,1,1,63764,26.83,63637
700,20,2,SwapIndex-DoubleBlock,2006-11-29 01:58:53,30,400,1,2,63637,55.43,63637
700,20,3,SwapIndex-DoubleBlock,2006-11-28 22:23:47,30,400,1,1,63738,27.22,63346
700,20,3,SwapIndex-DoubleBlock,2006-11-29 01:59:48,30,400,1,2,63346,55.49,63346
700,20,4,SwapIndex-DoubleBlock,2006-11-28 22:24:13,30,400,1,1,63647,26.34,63029
700,20,4,SwapIndex-DoubleBlock,2006-11-29 02:00:43,30,400,1,2,63029,54.21,63029
700,20,5,SwapIndex-DoubleBlock,2006-11-28 22:24:40,30,400,1,1,63277,26.78,63076
700,20,5,SwapIndex-DoubleBlock,2006-11-29 02:01:37,30,400,1,2,63076,53.86,63076
800,20,1,SwapIndex-DoubleBlock,2006-11-28 22:25:16,30,400,1,1,72090,35.41,71791
800,20,1,SwapIndex-DoubleBlock,2006-11-29 02:02:49,30,400,1,2,71791,71.68,71791
800,20,2,SwapIndex-DoubleBlock,2006-11-28 22:25:52,30,400,1,1,75218,36.29,74596
800,20,2,SwapIndex-DoubleBlock,2006-11-29 02:04:04,30,400,1,2,74596,74.56,74596
800,20,3,SwapIndex-DoubleBlock,2006-11-28 22:26:28,30,400,1,1,71911,35.50,71673
800,20,3,SwapIndex-DoubleBlock,2006-11-29 02:05:17,30,400,1,2,71673,73.39,71673
800,20,4,SwapIndex-DoubleBlock,2006-11-28 22:27:06,30,400,1,1,70525,37.70,70266
800,20,4,SwapIndex-DoubleBlock,2006-11-29 02:06:31,30,400,1,2,70266,73.89,70266
800,20,5,SwapIndex-DoubleBlock,2006-11-28 22:27:43,30,400,1,1,72081,36.91,71798
800,20,5,SwapIndex-DoubleBlock,2006-11-29 02:07:46,30,400,1,2,71798,74.06,71798
900,20,1,SwapIndex-DoubleBlock,2006-11-28 22:28:31,30,400,1,1,82207,47.29,82133
900,20,1,SwapIndex-DoubleBlock,2006-11-29 02:09:20,30,400,1,2,82133,93.56,82133
900,20,2,SwapIndex-DoubleBlock,2006-11-28 22:29:18,30,400,1,1,82330,47.31,82162
900,20,2,SwapIndex-DoubleBlock,2006-11-29 02:10:53,30,400,1,2,82162,93.58,82162
900,20,3,SwapIndex-DoubleBlock,2006-11-28 22:30:03,30,400,1,1,82241,44.97,81754
900,20,3,SwapIndex-DoubleBlock,2006-11-29 02:12:27,30,400,1,2,81754,93.29,81754
900,20,4,SwapIndex-DoubleBlock,2006-11-28 22:30:51,30,400,1,1,83695,47.42,83451
900,20,4,SwapIndex-DoubleBlock,2006-11-29 02:13:59,30,400,1,2,83451,92.06,83451
