offlines,tasks,repeat,tag,date,tabus,counts,resets,distance,cmax,time
0,30,10,sort i asp,2006-11-21 18:40:22,0,0,1,1,2468,0.00
0,30,10,sort i asp,2006-11-21 18:40:23,0,0,1,2,2411,0.02
0,30,10,sort i asp,2006-11-21 18:40:23,0,0,1,3,2373,0.02
0,30,10,sort i asp,2006-11-21 18:40:23,0,0,1,5,2341,0.04
0,30,10,sort i asp,2006-11-21 18:40:51,5,50,1,1,2468,0.00
0,30,10,sort i asp,2006-11-21 18:40:51,5,100,1,1,2468,0.01
0,30,10,sort i asp,2006-11-21 18:40:51,5,200,1,1,2465,0.00
0,30,10,sort i asp,2006-11-21 18:40:51,15,50,1,1,2465,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,15,100,1,1,2465,0.00
0,30,10,sort i asp,2006-11-21 18:40:52,15,200,1,1,2465,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,25,50,1,1,2465,0.00
0,30,10,sort i asp,2006-11-21 18:40:52,25,100,1,1,2465,0.00
0,30,10,sort i asp,2006-11-21 18:40:52,25,200,1,1,2459,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,50,50,1,1,2451,0.00
0,30,10,sort i asp,2006-11-21 18:40:52,50,100,1,1,2451,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,50,200,1,1,2384,0.03
0,30,10,sort i asp,2006-11-21 18:40:52,75,50,1,1,2451,0.00
0,30,10,sort i asp,2006-11-21 18:40:52,75,100,1,1,2451,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,75,200,1,1,2451,0.02
0,30,10,sort i asp,2006-11-21 18:40:52,5,50,1,2,2411,0.01
0,30,10,sort i asp,2006-11-21 18:40:52,5,100,1,2,2411,0.02
0,30,10,sort i asp,2006-11-21 18:40:53,5,200,1,2,2374,0.02
0,30,10,sort i asp,2006-11-21 18:40:53,15,50,1,2,2345,0.03
0,30,10,sort i asp,2006-11-21 18:40:53,15,100,1,2,2345,0.04
0,30,10,sort i asp,2006-11-21 18:40:53,15,200,1,2,2332,0.09
0,30,10,sort i asp,2006-11-21 18:40:53,25,50,1,2,2345,0.03
0,30,10,sort i asp,2006-11-21 18:40:53,25,100,1,2,2345,0.05
0,30,10,sort i asp,2006-11-21 18:40:53,25,200,1,2,2345,0.09
0,30,10,sort i asp,2006-11-21 18:40:53,50,50,1,2,2345,0.04
0,30,10,sort i asp,2006-11-21 18:40:54,50,100,1,2,2345,0.07
0,30,10,sort i asp,2006-11-21 18:40:54,50,200,1,2,2345,0.10
0,30,10,sort i asp,2006-11-21 18:40:54,75,50,1,2,2345,0.05
0,30,10,sort i asp,2006-11-21 18:40:54,75,100,1,2,2345,0.08
0,30,10,sort i asp,2006-11-21 18:40:54,75,200,1,2,2345,0.14
0,30,10,sort i asp,2006-11-21 18:40:54,5,50,1,3,2345,0.03
0,30,10,sort i asp,2006-11-21 18:40:55,5,100,1,3,2342,0.05
0,30,10,sort i asp,2006-11-21 18:40:55,5,200,1,3,2318,0.10
0,30,10,sort i asp,2006-11-21 18:40:55,15,50,1,3,2338,0.06
0,30,10,sort i asp,2006-11-21 18:40:55,15,100,1,3,2322,0.14
0,30,10,sort i asp,2006-11-21 18:40:55,15,200,1,3,2322,0.20
0,30,10,sort i asp,2006-11-21 18:40:55,25,50,1,3,2338,0.07
0,30,10,sort i asp,2006-11-21 18:40:56,25,100,1,3,2338,0.10
0,30,10,sort i asp,2006-11-21 18:40:56,25,200,1,3,2327,0.22
0,30,10,sort i asp,2006-11-21 18:40:56,50,50,1,3,2334,0.12
0,30,10,sort i asp,2006-11-21 18:40:56,50,100,1,3,2334,0.17
0,30,10,sort i asp,2006-11-21 18:40:57,50,200,1,3,2334,0.28
0,30,10,sort i asp,2006-11-21 18:40:57,75,50,1,3,2334,0.14
0,30,10,sort i asp,2006-11-21 18:40:57,75,100,1,3,2334,0.28
0,30,10,sort i asp,2006-11-21 18:40:58,75,200,1,3,2324,0.59
0,30,10,sort i asp,2006-11-21 18:40:58,5,50,1,5,2328,0.06
0,30,10,sort i asp,2006-11-21 18:40:58,5,100,1,5,2324,0.09
0,30,10,sort i asp,2006-11-21 18:40:58,5,200,1,5,2324,0.13
0,30,10,sort i asp,2006-11-21 18:40:59,15,50,1,5,2324,0.11
0,30,10,sort i asp,2006-11-21 18:40:59,15,100,1,5,2319,0.38
0,30,10,sort i asp,2006-11-21 18:41:00,15,200,1,5,2319,0.43
0,30,10,sort i asp,2006-11-21 18:41:00,25,50,1,5,2322,0.22
0,30,10,sort i asp,2006-11-21 18:41:00,25,100,1,5,2322,0.31
0,30,10,sort i asp,2006-11-21 18:41:01,25,200,1,5,2322,0.53
0,30,10,sort i asp,2006-11-21 18:41:01,50,50,1,5,2322,0.30
0,30,10,sort i asp,2006-11-21 18:41:02,50,100,1,5,2322,0.48
0,30,10,sort i asp,2006-11-21 18:41:03,50,200,1,5,2319,1.27
0,30,10,sort i asp,2006-11-21 18:41:04,75,50,1,5,2322,0.40
0,30,10,sort i asp,2006-11-21 18:41:04,75,100,1,5,2322,0.67
0,30,10,sort i asp,2006-11-21 18:41:06,75,200,1,5,2322,1.24
0,30,1,sort i asp,2006-11-21 18:40:21,0,0,1,1,2229,0.01
0,30,1,sort i asp,2006-11-21 18:40:22,0,0,1,2,2170,0.02
0,30,1,sort i asp,2006-11-21 18:40:22,0,0,1,3,2130,0.04
0,30,1,sort i asp,2006-11-21 18:40:22,0,0,1,5,2070,0.09
0,30,1,sort i asp,2006-11-21 18:40:34,5,50,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,5,100,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,5,200,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,50,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,100,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,200,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,100,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,200,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,50,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:35,50,100,1,1,2185,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,50,200,1,1,2127,0.03
0,30,1,sort i asp,2006-11-21 18:40:35,75,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:35,75,100,1,1,2200,0.02
0,30,1,sort i asp,2006-11-21 18:40:35,75,200,1,1,2200,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,50,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,100,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,200,1,2,2148,0.02
0,30,1,sort i asp,2006-11-21 18:40:35,15,50,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,15,100,1,2,2111,0.05
0,30,1,sort i asp,2006-11-21 18:40:36,15,200,1,2,2030,0.09
0,30,1,sort i asp,2006-11-21 18:40:36,25,50,1,2,2148,0.02
0,30,1,sort i asp,2006-11-21 18:40:36,25,100,1,2,2109,0.04
0,30,1,sort i asp,2006-11-21 18:40:36,25,200,1,2,2109,0.07
0,30,1,sort i asp,2006-11-21 18:40:36,50,50,1,2,2048,0.08
0,30,1,sort i asp,2006-11-21 18:40:36,50,100,1,2,2048,0.10
0,30,1,sort i asp,2006-11-21 18:40:36,50,200,1,2,2048,0.14
0,30,1,sort i asp,2006-11-21 18:40:37,75,50,1,2,2023,0.10
0,30,1,sort i asp,2006-11-21 18:40:37,75,100,1,2,2023,0.13
0,30,1,sort i asp,2006-11-21 18:40:37,75,200,1,2,2023,0.24
0,30,1,sort i asp,2006-11-21 18:40:37,5,50,1,3,2115,0.02
0,30,1,sort i asp,2006-11-21 18:40:37,5,100,1,3,2005,0.07
0,30,1,sort i asp,2006-11-21 18:40:38,5,200,1,3,1979,0.13
0,30,1,sort i asp,2006-11-21 18:40:38,15,50,1,3,2113,0.04
0,30,1,sort i asp,2006-11-21 18:40:38,15,100,1,3,2113,0.06
0,30,1,sort i asp,2006-11-21 18:40:38,15,200,1,3,2040,0.19
0,30,1,sort i asp,2006-11-21 18:40:38,25,50,1,3,2113,0.05
0,30,1,sort i asp,2006-11-21 18:40:38,25,100,1,3,1991,0.30
0,30,1,sort i asp,2006-11-21 18:40:39,25,200,1,3,1991,0.31
0,30,1,sort i asp,2006-11-21 18:40:39,50,50,1,3,2068,0.12
0,30,1,sort i asp,2006-11-21 18:40:39,50,100,1,3,2068,0.17
0,30,1,sort i asp,2006-11-21 18:40:40,50,200,1,3,2068,0.33
0,30,1,sort i asp,2006-11-21 18:40:40,75,50,1,3,2045,0.23
0,30,1,sort i asp,2006-11-21 18:40:41,75,100,1,3,2022,0.60
0,30,1,sort i asp,2006-11-21 18:40:42,75,200,1,3,1992,1.28
0,30,1,sort i asp,2006-11-21 18:40:42,5,50,1,5,1996,0.07
0,30,1,sort i asp,2006-11-21 18:40:42,5,100,1,5,1996,0.15
0,30,1,sort i asp,2006-11-21 18:40:43,5,200,1,5,1996,0.12
0,30,1,sort i asp,2006-11-21 18:40:43,15,50,1,5,1978,0.14
0,30,1,sort i asp,2006-11-21 18:40:43,15,100,1,5,1978,0.24
0,30,1,sort i asp,2006-11-21 18:40:44,15,200,1,5,1975,0.44
0,30,1,sort i asp,2006-11-21 18:40:44,25,50,1,5,1978,0.20
0,30,1,sort i asp,2006-11-21 18:40:44,25,100,1,5,1978,0.23
0,30,1,sort i asp,2006-11-21 18:40:45,25,200,1,5,1967,0.70
0,30,1,sort i asp,2006-11-21 18:40:45,50,50,1,5,1978,0.29
0,30,1,sort i asp,2006-11-21 18:40:46,50,100,1,5,1978,0.44
0,30,1,sort i asp,2006-11-21 18:40:48,50,200,1,5,1951,1.83
0,30,1,sort i asp,2006-11-21 18:40:48,75,50,1,5,1978,0.36
0,30,1,sort i asp,2006-11-21 18:40:49,75,100,1,5,1978,0.65
0,30,1,sort i asp,2006-11-21 18:40:51,75,200,1,5,1946,2.16
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,1,2524,0.01
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,2,2439,0.01
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,3,2413,0.02
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,5,2369,0.04
0,30,2,sort i asp,2006-11-21 18:41:06,5,50,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,5,100,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,5,200,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,50,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,100,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,200,1,1,2504,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,100,1,1,2506,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,200,1,1,2506,0.01
0,30,2,sort i asp,2006-11-21 18:41:06,50,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,50,100,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:07,50,200,1,1,2496,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,75,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:07,75,100,1,1,2516,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,75,200,1,1,2516,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,5,50,1,2,2414,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,5,100,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,5,200,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,15,50,1,2,2414,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,15,100,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:07,15,200,1,2,2414,0.04
0,30,2,sort i asp,2006-11-21 18:41:07,25,50,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,25,100,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:08,25,200,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,50,50,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:08,50,100,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,50,200,1,2,2414,0.09
0,30,2,sort i asp,2006-11-21 18:41:08,75,50,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,75,100,1,2,2414,0.07
0,30,2,sort i asp,2006-11-21 18:41:08,75,200,1,2,2414,0.13
0,30,2,sort i asp,2006-11-21 18:41:09,5,50,1,3,2413,0.02
0,30,2,sort i asp,2006-11-21 18:41:09,5,100,1,3,2413,0.03
0,30,2,sort i asp,2006-11-21 18:41:09,5,200,1,3,2413,0.04
0,30,2,sort i asp,2006-11-21 18:41:09,15,50,1,3,2413,0.03
0,30,2,sort i asp,2006-11-21 18:41:09,15,100,1,3,2413,0.05
0,30,2,sort i asp,2006-11-21 18:41:09,15,200,1,3,2403,0.18
0,30,2,sort i asp,2006-11-21 18:41:09,25,50,1,3,2413,0.04
0,30,2,sort i asp,2006-11-21 18:41:09,25,100,1,3,2413,0.07
0,30,2,sort i asp,2006-11-21 18:41:10,25,200,1,3,2369,0.34
0,30,2,sort i asp,2006-11-21 18:41:10,50,50,1,3,2392,0.12
