tasks,offlines,repeat,tag,date,init,approx,time,calls
10,25,10,init_best,2007-01-06 17:34:23,1,0,0.36,1696623
10,25,10,init_best,2007-01-06 17:34:23,2,0,0.43,1676894
10,25,10,init_best,2007-01-06 17:34:24,3,0,0.26,1160236
10,25,10,init_best,2007-01-06 19:18:10,1,1,0.00,9796
10,25,10,init_best,2007-01-06 19:18:10,2,1,0.00,9012
10,25,10,init_best,2007-01-06 19:18:10,3,1,0.01,2432
10,25,11,init_best,2007-01-06 17:34:24,1,0,0.12,545948
10,25,11,init_best,2007-01-06 17:34:24,2,0,0.14,528896
10,25,11,init_best,2007-01-06 17:34:24,3,0,0.10,471821
10,25,11,init_best,2007-01-06 19:18:10,1,1,0.00,2026
10,25,11,init_best,2007-01-06 19:18:10,2,1,0.00,1687
10,25,11,init_best,2007-01-06 19:18:10,3,1,0.01,938
10,25,12,init_best,2007-01-06 17:34:25,1,0,0.25,1152826
10,25,12,init_best,2007-01-06 17:34:25,2,0,0.30,1152848
10,25,12,init_best,2007-01-06 17:34:25,3,0,0.26,1121320
10,25,12,init_best,2007-01-06 19:18:10,1,1,0.00,4844
10,25,12,init_best,2007-01-06 19:18:10,2,1,0.00,4893
10,25,12,init_best,2007-01-06 19:18:10,3,1,0.01,2426
10,25,13,init_best,2007-01-06 17:34:26,1,0,0.52,2155937
10,25,13,init_best,2007-01-06 17:34:27,2,0,0.54,2155699
10,25,13,init_best,2007-01-06 17:34:27,3,0,0.56,1976725
10,25,13,init_best,2007-01-06 19:18:10,1,1,0.00,23542
10,25,13,init_best,2007-01-06 19:18:10,2,1,0.01,22441
10,25,13,init_best,2007-01-06 19:18:10,3,1,0.01,15918
10,25,14,init_best,2007-01-06 17:34:27,1,0,0.26,1160124
10,25,14,init_best,2007-01-06 17:34:28,2,0,0.26,1160106
10,25,14,init_best,2007-01-06 17:34:28,3,0,0.22,902869
10,25,14,init_best,2007-01-06 19:18:10,1,1,0.00,4675
10,25,14,init_best,2007-01-06 19:18:10,2,1,0.00,4662
10,25,14,init_best,2007-01-06 19:18:10,3,1,0.00,1671
10,25,15,init_best,2007-01-06 17:34:29,1,0,0.90,3690680
10,25,15,init_best,2007-01-06 17:34:30,2,0,0.83,3690592
10,25,15,init_best,2007-01-06 17:34:31,3,0,0.82,3517160
10,25,15,init_best,2007-01-06 19:18:11,1,1,0.00,14424
10,25,15,init_best,2007-01-06 19:18:11,2,1,0.00,14328
10,25,15,init_best,2007-01-06 19:18:11,3,1,0.00,5873
10,25,16,init_best,2007-01-06 17:34:31,1,0,0.32,1449367
10,25,16,init_best,2007-01-06 17:34:32,2,0,0.34,1264387
10,25,16,init_best,2007-01-06 17:34:32,3,0,0.18,766519
10,25,16,init_best,2007-01-06 19:18:11,1,1,0.00,5239
10,25,16,init_best,2007-01-06 19:18:11,2,1,0.00,4962
10,25,16,init_best,2007-01-06 19:18:11,3,1,0.00,1736
10,25,17,init_best,2007-01-06 17:34:33,1,0,0.68,2776405
10,25,17,init_best,2007-01-06 17:34:33,2,0,0.75,2913978
10,25,17,init_best,2007-01-06 17:34:34,3,0,0.40,1526533
10,25,17,init_best,2007-01-06 19:18:11,1,1,0.01,38745
10,25,17,init_best,2007-01-06 19:18:11,2,1,0.01,44424
10,25,17,init_best,2007-01-06 19:18:11,3,1,0.01,13453
10,25,18,init_best,2007-01-06 17:34:35,1,0,1.10,4745709
10,25,18,init_best,2007-01-06 17:34:36,2,0,1.04,4630885
10,25,18,init_best,2007-01-06 17:34:37,3,0,0.95,3936335
10,25,18,init_best,2007-01-06 19:18:11,1,1,0.00,531
10,25,18,init_best,2007-01-06 19:18:11,2,1,0.00,450
10,25,18,init_best,2007-01-06 19:18:11,3,1,0.00,20
10,25,19,init_best,2007-01-06 17:34:38,1,0,0.58,2511156
10,25,19,init_best,2007-01-06 17:34:38,2,0,0.53,2334649
10,25,19,init_best,2007-01-06 17:34:39,3,0,0.26,882483
10,25,19,init_best,2007-01-06 19:18:11,1,1,0.00,7072
10,25,19,init_best,2007-01-06 19:18:11,2,1,0.00,3705
10,25,19,init_best,2007-01-06 19:18:12,3,1,0.01,495
10,25,1,init_best,2007-01-06 17:34:22,1,0,0.19,868438
10,25,1,init_best,2007-01-06 17:34:22,2,0,0.25,880525
10,25,1,init_best,2007-01-06 17:34:23,3,0,0.18,784411
10,25,1,init_best,2007-01-06 19:18:09,1,1,0.00,5656
10,25,1,init_best,2007-01-06 19:18:09,2,1,0.00,6431
10,25,1,init_best,2007-01-06 19:18:10,3,1,0.00,2097
10,25,20,init_best,2007-01-06 17:34:41,1,0,0.17,682997
10,25,20,init_best,2007-01-06 17:34:42,2,0,0.42,1757249
10,25,20,init_best,2007-01-06 17:34:42,3,0,0.12,483262
10,25,20,init_best,2007-01-06 19:18:12,1,1,0.00,959
10,25,20,init_best,2007-01-06 19:18:12,2,1,0.00,5326
10,25,20,init_best,2007-01-06 19:18:12,3,1,0.01,335
10,25,2,init_best,2007-01-06 17:34:39,1,0,0.64,2756003
10,25,2,init_best,2007-01-06 17:34:40,2,0,0.64,2755990
10,25,2,init_best,2007-01-06 17:34:41,3,0,0.70,2710435
10,25,2,init_best,2007-01-06 19:18:12,1,1,0.00,19139
10,25,2,init_best,2007-01-06 19:18:12,2,1,0.01,19108
10,25,2,init_best,2007-01-06 19:18:12,3,1,0.01,12975
