Variables;result
m;3
T;185216
t_00_0;384
tk_00_0;173632
t_00_1;64
tk_00_1;64
t_00_2;0
tk_00_2;0
t_01_0;20672
tk_01_0;138112
t_01_1;3264
tk_01_1;20672
t_01_2;640
tk_01_2;3200
t_02_0;27392
tk_02_0;184512
t_02_1;4544
tk_02_1;27392
t_02_2;832
tk_02_2;4480
t_03_0;27776
tk_03_0;185216
t_03_1;4800
tk_03_1;26112
t_03_2;896
tk_03_2;4736
t_04_0;29184
tk_04_0;182848
t_04_1;4864
tk_04_1;29120
t_04_2;896
tk_04_2;4736
t_05_0;32256
tk_05_0;183808
t_05_1;5504
tk_05_1;32128
t_05_2;1024
tk_05_2;5440
t_06_0;30016
tk_06_0;170944
t_06_1;4928
tk_06_1;28800
t_06_2;960
tk_06_2;4480
t_07_0;34240
tk_07_0;154304
t_07_1;5696
tk_07_1;34112
t_07_2;1088
tk_07_2;5440
r_00_0;-30702
rk_00_0;-30702
r_00_1;-30702
rk_00_1;-30702
r_00_2;-30702
rk_00_2;-30702
pc_0;0
pv_0;0
r_01_0;4968
rk_01_0;18471
r_01_1;951
rk_01_1;2868
r_01_2;316
rk_01_2;612
pc_1;1
pv_1;0
r_02_0;6545
rk_02_0;25352
r_02_1;1235
rk_02_1;4139
r_02_2;363
rk_02_2;791
pc_2;2
pv_2;0
r_03_0;8246
rk_03_0;27080
r_03_1;1544
rk_03_1;4422
r_03_2;414
rk_03_2;864
pc_3;3
pv_3;0
r_04_0;19084
rk_04_0;27638
r_04_1;2979
rk_04_1;4385
r_04_2;659
rk_04_2;897
pc_4;4
pv_4;1
r_05_0;19716
rk_05_0;28463
r_05_1;3094
rk_05_1;4542
r_05_2;687
rk_05_2;906
pc_5;6
pv_5;1
r_06_0;25659
rk_06_0;27675
r_06_1;4199
rk_06_1;4490
r_06_2;827
rk_06_2;835
pc_6;4
pv_6;2
r_07_0;26065
rk_07_0;30787
r_07_1;4283
rk_07_1;5145
r_07_2;851
rk_07_2;986
pc_7;5
pv_7;2
r_08_0;27479
rk_08_0;32248
r_08_1;4503
rk_08_1;5328
r_08_2;907
rk_08_2;1012
pc_8;5
pv_8;3
r_09_0;27784
rk_09_0;29722
r_09_1;4562
rk_09_1;4860
r_09_2;924
rk_09_2;938
pc_9;6
pv_9;3
r_10_0;27998
rk_10_0;32189
r_10_1;4575
rk_10_1;5316
r_10_2;926
rk_10_2;1033
pc_10;7
pv_10;4
r_11_0;30043
rk_11_0;34046
r_11_1;4963
rk_11_1;5712
r_11_2;998
rk_11_2;1098
pc_11;7
pv_11;5
r_12_0;27998
rk_12_0;32189
r_12_1;4575
rk_12_1;5316
r_12_2;926
rk_12_2;1033
pc_12;7
pv_12;6
r_13_0;32285
rk_13_0;32295
r_13_1;5366
rk_13_1;5385
r_13_2;1046
rk_13_2;1035
pc_13;7
pv_13;7
r_14_0;32285
rk_14_0;32295
r_14_1;5366
rk_14_1;5385
r_14_2;1046
rk_14_2;1035
pc_14;7
pv_14;8
r_15_0;30043
rk_15_0;34046
r_15_1;4963
rk_15_1;5712
r_15_2;998
rk_15_2;1098
pc_15;7
pv_15;9
